City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,kutum,14.2,24.6667,73.72,76,99,12.5,SD,1723492412
356,blantyre,-15.785,35.0085,69.93,28,0,7.45,MW,1723492412
357,manokwari,-0.8667,134.0833,77.9,80,56,5.17,ID,1723492412
358,baishishan,43.5833,127.5667,67.77,99,75,0.4,CN,1723492413
359,narra,9.3167,118.4,77.54,87,85,2.64,PH,1723492413
360,westport,41.1415,-73.3579,76.15,69,76,5.99,US,1723492285
361,port lincoln,-34.7333,135.8667,61.03,59,100,13.98,AU,1723492128
362,la isla,18.6,-96.15,84.88,76,100,5.91,MX,1723492413
363,hamilton,39.1834,-84.5333,83.91,44,0,10.36,US,1723492231
364,opuwo,-18.0607,13.84,71.35,12,0,8.01,NA,1723492205
